"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C51 H42 O5 N1 P1 S1",810.2453421,"N1 S1 P1 O5","CHO","Unsat Hydrocarbon",51,42,5,1,1,1,0.82,0.82,32,0.5824,-0.5294,75.3879
"C30 H54 O18 N1 P1 S2",810.2453421,"N1 S2 P1 O18","CHO","Amino Sugar",30,54,18,1,2,1,1.8,1.8,5,-0.4706,-0.3667,70.75095
"C43 H46 O7 N3 P1 S2",810.2453421,"N3 S2 P1 O7","CHO","Other",43,46,7,3,2,1,1.07,1.07,23,0.403,-0.4419,72.89415
"C48 H62 O6 N1 P1 S1",810.3972401,"N1 S1 P1 O6","CHO","Unsat Hydrocarbon",48,62,6,1,1,1,1.29,1.29,19,0.3095,-0.9375,87.01875
"C53 H85 O3 N3",810.6526707,"N3 O3","CHON","Lipid",53,85,3,3,0,0,1.6,1.6,13,0.1753,-1.3208,97.9428
"C58 H55 O1 N1 S1",812.3941926,"N1 S1 O1","CHONS","Other",58,55,1,1,1,0,0.95,0.95,32,0.5315,-0.8276,83.8866
"C47 H60 O9 N1 P1",812.3941926,"N1 P1 O9","CHONP","Other",47,60,9,1,0,1,1.28,1.28,19,0.3086,-0.8298,83.9493
"C37 H67 O14 N1 S2",812.3941926,"N1 S2 O14","CHONS","Protein",37,67,14,1,2,0,1.81,1.81,5,-0.1852,-0.8649,84.94965
"C59 H29 O4 N1",814.2030407,"N1 O4","CHON","Other",59,29,4,1,0,0,0.49,0.49,46,0.7679,-0.3051,68.99535
"C38 H41 O17 N1 S1",814.2030407,"N1 S1 O17","CHONS","Lignin",38,41,17,1,1,0,1.08,1.08,19,0.3091,-0.0526,61.7991
"C40 H38 O14 N3 P1",814.2030407,"N3 P1 O14","CHONP","Lignin",40,38,14,3,0,1,0.95,0.95,24,0.4483,-0.025,61.0125
"C61 H37 O2 N1",814.2757176,"N1 O2","CHON","Other",61,37,2,1,0,0,0.61,0.61,44,0.7119,-0.4918,74.3163
"C40 H49 O15 N1 S1",814.2757176,"N1 S1 O15","CHONS","Lignin",40,49,15,1,1,0,1.23,1.23,17,0.2459,-0.35,70.275
"C29 H54 O23 N1 P1",814.2757176,"N1 P1 O23","CHONP","Carbohydrate",29,54,23,1,0,1,1.86,1.86,4,-0.6129,-0.1724,65.2134
"C42 H46 O12 N3 P1",814.2757176,"N3 P1 O12","CHONP","Lignin",42,46,12,3,0,1,1.1,1.1,22,0.375,-0.3095,69.12075
"C43 H49 O11 N3 S1",814.3022619,"N3 S1 O11","CHONS","Other",43,49,11,3,1,0,1.14,1.14,21,0.3433,-0.3721,70.90485
"C32 H54 O19 N3 P1",814.3022619,"N3 P1 O19","CHONP","Amino Sugar",32,54,19,3,0,1,1.69,1.69,8,-0.2973,-0.2188,66.5358
"C53 H104 O2 N1 P1",816.7742439,"N1 P1 O2","CHONP","Lipid",53,104,2,1,0,1,1.96,1.96,3,0,-1.8302,112.4607
"C45 H73 O10 N1 S1",818.4889237,"N1 S1 O10","CHONS","Lipid",45,73,10,1,1,0,1.62,1.62,10,0.0789,-1.0667,90.70095
"C47 H70 O7 N3 P1",818.4889237,"N3 P1 O7","CHONP","Unsat Hydrocarbon",47,70,7,3,0,1,1.49,1.49,15,0.1899,-1,88.8
"C56 H69 O3 P1",819.4919514,"P1 O3","CHOP","Unsat Hydrocarbon",56,69,3,0,0,1,1.23,1.23,23,0.3832,-1.125,92.3625
"C46 H76 O8 S2",819.4919514,"S2 O8","CHOS","Lipid",46,76,8,0,2,0,1.65,1.65,9,0.075,-1.2174,94.9959
"C57 H76 O1 N1 P1",820.5599793,"N1 P1 O1","CHONP","Other",57,76,1,1,0,1,1.33,1.33,21,0.3394,-1.2456,95.7996
"C47 H83 O6 N1 S2",820.5599793,"N1 S2 O6","CHONS","Lipid",47,83,6,1,2,0,1.77,1.77,7,0.0244,-1.3617,99.10845
"C44 H60 O13 N2",823.4027493,"N2 O13","CHON","Lignin",44,60,13,2,0,0,1.36,1.36,16,0.2113,-0.6364,78.4374
"C40 H63 O13 N3 S1",824.4012901,"N3 S1 O13","CHONS","Protein",40,63,13,3,1,0,1.57,1.57,11,0.0169,-0.65,78.825
"C55 H103 O2 P1",825.7628675,"P1 O2","CHOP","Lipid",55,103,2,0,0,1,1.87,1.87,5,0.0566,-1.8,111.6
"C59 H25 O3 N1 S1",826.1493293,"N1 S1 O3","CHONS","Other",59,25,3,1,1,0,0.42,0.42,48,0.8018,-0.2373,67.06305
"C48 H30 O11 N1 P1",826.1493293,"N1 P1 O11","CHONP","Cond Hydrocarbon",48,30,11,1,0,1,0.62,0.62,35,0.679,-0.1042,63.2697
"C61 H33 O1 N1 S1",826.2221991,"N1 S1 O1","CHONS","Other",61,33,1,1,1,0,0.54,0.54,46,0.7436,-0.4262,72.4467
"C50 H38 O9 N1 P1",826.2221991,"N1 P1 O9","CHONP","Cond Hydrocarbon",50,38,9,1,0,1,0.76,0.76,33,0.6092,-0.34,69.99
"C29 H50 O22 N1 P1 S1",826.2221991,"N1 S1 P1 O22","CHO","Carbohydrate",29,50,22,1,1,1,1.72,1.72,6,-0.5333,-0.0345,61.28325
"C60 H79 O1 N1",828.6094141,"N1 O1","CHON","Other",60,79,1,1,0,0,1.32,1.32,22,0.3504,-1.2333,95.44905
"C52 H83 O3 N3 S1",828.6094141,"N3 S1 O3","CHONS","Lipid",52,83,3,3,1,0,1.6,1.6,13,0.1613,-1.2692,96.4722
"C41 H88 O11 N3 P1",828.6094141,"N3 P1 O11","CHONP","Lipid",41,88,11,3,0,1,2.15,2.15,0,-0.3016,-1.3902,99.9207
"C52 H85 O1 N3 S2",830.6072183,"N3 S2 O1","CHONS","Lipid",52,85,1,3,2,0,1.63,1.63,12,0.1398,-1.3462,98.6667
"C54 H106 O2 N1 P1",830.7900407,"N1 P1 O2","CHONP","Lipid",54,106,2,1,0,1,1.96,1.96,3,0,-1.8333,112.54905
"C49 H88 O5 N1 P1 S1",832.605283,"N1 S1 P1 O5","CHO","Lipid",49,88,5,1,1,1,1.8,1.8,7,0.0345,-1.4898,102.7593
"C35 H15 O21 P1 S1",832.9497108,"S1 P1 O21","CHO","Cond Hydrocarbon",35,15,21,0,1,1,0.43,0.43,29,0.7333,0.8286,36.6849
"C27 H19 O23 N2 P1 S2",832.9497108,"N2 S2 P1 O23","CHO","Tannin",27,19,23,2,2,1,0.7,0.7,20,0.3333,1.3704,21.2436
"C59 H53 O2 N1 S1",838.3728791,"N1 S1 O2","CHONS","Other",59,53,2,1,1,0,0.9,0.9,34,0.5536,-0.7458,81.5553
"C38 H65 O15 N1 S2",838.3728791,"N1 S2 O15","CHONS","Protein",38,65,15,1,2,0,1.71,1.71,7,-0.1273,-0.7368,81.2988
"C51 H57 O4 N3 S2",838.3728791,"N3 S2 O4","CHONS","Unsat Hydrocarbon",51,57,4,3,2,0,1.12,1.12,25,0.4091,-0.7059,80.41815
"C40 H62 O12 N3 P1 S1",838.3728791,"N3 S1 P1 O12","CHO","Lipid",40,62,12,3,1,1,1.55,1.55,12,0.0345,-0.675,79.5375
"C58 H51 O5 N1",840.3705255,"N1 O5","CHON","Unsat Hydrocarbon",58,51,5,1,0,0,0.88,0.88,34,0.5596,-0.6552,78.9732
"C37 H63 O18 N1 S1",840.3705255,"N1 S1 O18","CHONS","Protein",37,63,18,1,1,0,1.7,1.7,7,-0.1538,-0.5946,77.2461
"C40 H64 O10 N3 P1 S2",840.3705255,"N3 S2 P1 O10","CHO","Lipid",40,64,10,3,2,1,1.6,1.6,11,0,-0.775,82.3875
"C58 H102 O1 N2",841.7923723,"N2 O1","CHON","Lipid",58,102,1,2,0,0,1.76,1.76,9,0.1171,-1.6207,106.48995
"C55 H108 O2 N1 P1",844.8052045,"N1 P1 O2","CHONP","Lipid",55,108,2,1,0,1,1.96,1.96,3,0,-1.8364,112.6374
"C45 H50 O12 S2",845.2675389,"S2 O12","CHOS","Other",45,50,12,0,2,0,1.11,1.11,21,0.3514,-0.4889,74.23365
"C58 H42 O1 N2 S2",845.2675389,"N2 S2 O1","CHONS","Other",58,42,1,2,2,0,0.72,0.72,39,0.6449,-0.5172,75.0402
"C47 H47 O9 N2 P1 S1",845.2675389,"N2 S1 P1 O9","CHO","Other",47,47,9,2,1,1,1,1,26,0.4545,-0.4468,73.0338
"C57 H56 O4 N1 P1",848.388044,"N1 P1 O4","CHONP","Unsat Hydrocarbon",57,56,4,1,0,1,0.98,0.98,31,0.5094,-0.7895,82.80075
"C47 H63 O9 N1 S2",848.388044,"N1 S2 O9","CHONS","Other",47,63,9,1,2,0,1.34,1.34,17,0.2405,-0.8085,83.34225
"C36 H68 O17 N1 P1 S1",848.388044,"N1 S1 P1 O17","CHO","Protein",36,68,17,1,1,1,1.89,1.89,4,-0.3061,-0.8056,83.2596
"C59 H80 O1 N1 P1",848.5912484,"N1 P1 O1","CHONP","Other",59,80,1,1,0,1,1.36,1.36,21,0.3274,-1.2712,96.5292
"C49 H87 O6 N1 S2",848.5912484,"N1 S2 O6","CHONS","Lipid",49,87,6,1,2,0,1.78,1.78,7,0.0233,-1.3878,99.8523
"C54 H108 O3 N1 P1",848.8001792,"N1 P1 O3","CHONP","Lipid",54,108,3,1,0,1,2,2,2,-0.0297,-1.8333,112.54905
"C54 H43 O8 P1",849.2627427,"P1 O8","CHOP","Unsat Hydrocarbon",54,43,8,0,0,1,0.8,0.8,34,0.5918,-0.5,74.55
"C44 H50 O13 S2",849.2627427,"S2 O13","CHOS","Lignin",44,50,13,0,2,0,1.14,1.14,20,0.3239,-0.4545,73.25325
"C33 H55 O21 P1 S1",849.2627427,"S1 P1 O21","CHO","Amino Sugar",33,55,21,0,1,1,1.67,1.67,7,-0.2683,-0.3333,69.79905
"C57 H42 O2 N2 S2",849.2627427,"N2 S2 O2","CHONS","Other",57,42,2,2,2,0,0.74,0.74,38,0.6346,-0.4912,74.2992
"C46 H47 O10 N2 P1 S1",849.2627427,"N2 S1 P1 O10","CHO","Other",46,47,10,2,1,1,1.02,1.02,25,0.4324,-0.413,72.0705
"C43 H33 O16 N1 S1",850.1458562,"N1 S1 O16","CHONS","Cond Hydrocarbon",43,33,16,1,1,0,0.77,0.77,28,0.5455,0.093,57.6495
"C46 H34 O8 N3 P1 S2",850.1458562,"N3 S2 P1 O8","CHO","Cond Hydrocarbon",46,34,8,3,2,1,0.74,0.74,32,0.6111,-0.1087,63.39795
"C45 H41 O14 N1 S1",850.2181278,"N1 S1 O14","CHONS","Lignin",45,41,14,1,1,0,0.91,0.91,26,0.4722,-0.1778,65.3673
"C34 H46 O22 N1 P1",850.2181278,"N1 P1 O22","CHONP","Lignin",34,46,22,1,0,1,1.35,1.35,13,0,0.0294,59.4621
"C58 H33 O3 N3 S1",850.2181278,"N3 S1 O3","CHONS","Other",58,33,3,3,1,0,0.57,0.57,44,0.7333,-0.2759,68.16315
"C47 H38 O11 N3 P1",850.2181278,"N3 P1 O11","CHONP","Cond Hydrocarbon",47,38,11,3,0,1,0.81,0.81,31,0.5733,-0.1489,64.54365
"C46 H61 O12 N1 S1",850.3849556,"N1 S1 O12","CHONS","Other",46,61,12,1,1,0,1.33,1.33,17,0.2368,-0.6957,80.12745
"C35 H66 O20 N1 P1",850.3849556,"N1 P1 O20","CHONP","Other",35,66,20,1,0,1,1.89,1.89,4,-0.3478,-0.6571,79.02735
"C48 H58 O9 N3 P1",850.3849556,"N3 P1 O9","CHONP","Other",48,58,9,3,0,1,1.21,1.21,22,0.3418,-0.6458,78.7053
"C59 H82 O1 N1 P1",850.6066102,"N1 P1 O1","CHONP","Other",59,82,1,1,0,1,1.39,1.39,20,0.3097,-1.3051,97.49535
"C49 H89 O6 N1 S2",850.6066102,"N1 S2 O6","CHONS","Lipid",49,89,6,1,2,0,1.82,1.82,6,0,-1.4286,101.0151
"C51 H86 O3 N3 P1 S1",850.6066102,"N3 S1 P1 O3","CHO","Lipid",51,86,3,3,1,1,1.69,1.69,11,0.1011,-1.3529,98.85765
"C45 H59 O15 N1",852.3821425,"N1 O15","CHON","Lignin",45,59,15,1,0,0,1.31,1.31,17,0.2329,-0.5778,76.7673
"C48 H60 O7 N3 P1 S1",852.3821425,"N3 S1 P1 O7","CHO","Unsat Hydrocarbon",48,60,7,3,1,1,1.25,1.25,21,0.3165,-0.7292,81.0822
"C51 H88 O1 N3 P1 S2",852.6044898,"N3 S2 P1 O1","CHO","Lipid",51,88,1,3,2,1,1.73,1.73,10,0.0787,-1.4314,101.0949
"C64 H38 O1 S1",853.2577316,"S1 O1","CHOS","Other",64,38,1,0,1,0,0.59,0.59,46,0.712,-0.5312,75.4392
"C53 H43 O9 P1",853.2577316,"P1 O9","CHOP","Other",53,43,9,0,0,1,0.81,0.81,33,0.5789,-0.4717,73.74345
"C43 H50 O14 S2",853.2577316,"S2 O14","CHOS","Lignin",43,50,14,0,2,0,1.16,1.16,19,0.2941,-0.4186,72.2301
"C32 H55 O22 P1 S1",853.2577316,"S1 P1 O22","CHO","Carbohydrate",32,55,22,0,1,1,1.72,1.72,6,-0.3684,-0.2812,68.3142
"C45 H47 O11 N2 P1 S1",853.2577316,"N2 S1 P1 O11","CHO","Other",45,47,11,2,1,1,1.04,1.04,24,0.4085,-0.3778,71.0673
"C56 H29 O5 N3 S1",854.1760022,"N3 S1 O5","CHONS","Other",56,29,5,3,1,0,0.52,0.52,44,0.7576,-0.1429,64.37265
"C35 H41 O18 N3 S2",854.1760022,"N3 S2 O18","CHONS","Lignin",35,41,18,3,2,0,1.17,1.17,17,0.1429,0.2286,53.7849
"C58 H37 O3 N3 S1",854.2488061,"N3 S1 O3","CHONS","Other",58,37,3,3,1,0,0.64,0.64,42,0.6952,-0.3448,70.1268
"C37 H49 O16 N3 S2",854.2488061,"N3 S2 O16","CHONS","Lignin",37,49,16,3,2,0,1.32,1.32,15,0.0833,-0.1081,63.38085
"C58 H53 O2 N3 S1",854.3789871,"N3 S1 O2","CHONS","Other",58,53,2,3,1,0,0.91,0.91,34,0.5472,-0.6552,78.9732
"C37 H65 O15 N3 S2",854.3789871,"N3 S2 O15","CHONS","Protein",37,65,15,3,2,0,1.76,1.76,7,-0.2245,-0.5946,77.2461
"C57 H51 O5 N3",856.376183,"N3 O5","CHON","Unsat Hydrocarbon",57,51,5,3,0,0,0.89,0.89,34,0.5534,-0.5614,76.2999
"C36 H63 O18 N3 S1",856.376183,"N3 S1 O18","CHONS","Protein",36,63,18,3,1,0,1.75,1.75,7,-0.2609,-0.4444,72.9654
"C35 H61 O21 N3",858.3733016,"N3 O21","CHON","Amino Sugar",35,61,21,3,0,0,1.74,1.74,7,-0.3023,-0.2857,68.44245
"C43 H77 O14 N3",858.5342526,"N3 O14","CHON","Protein",43,77,14,3,0,0,1.79,1.79,7,-0.0909,-0.9302,86.8107
"C62 H40 O5",863.2812084,"O5","CHO","Other",62,40,5,0,0,0,0.65,0.65,43,0.6807,-0.4839,74.09115
"C41 H52 O18 S1",863.2812084,"S1 O18","CHOS","Lignin",41,52,18,0,1,0,1.27,1.27,16,0.1935,-0.3415,70.03275
"C44 H53 O10 N2 P1 S2",863.2812084,"N2 S2 P1 O10","CHO","Other",44,53,10,2,2,1,1.2,1.2,20,0.2941,-0.5227,75.19695
"C42 H47 O17 N3",864.2844769,"N3 O17","CHON","Lignin",42,47,17,3,0,0,1.12,1.12,21,0.3115,-0.0952,63.0132
"C40 H50 O21",865.2784556,"O21","CHO","Lignin",40,50,21,0,0,0,1.25,1.25,16,0.1864,-0.2,66
"C54 H46 O5 N2 S2",865.2784556,"N2 S2 O5","CHONS","Unsat Hydrocarbon",54,46,5,2,2,0,0.85,0.85,33,0.5579,-0.4815,74.02275
"C43 H51 O13 N2 P1 S1",865.2784556,"N2 S1 P1 O13","CHO","Lignin",43,51,13,2,1,1,1.19,1.19,20,0.2923,-0.3953,71.56605
"C63 H37 O2 N3",866.2819769,"N3 O2","CHON","Other",63,37,2,3,0,0,0.59,0.59,47,0.7288,-0.381,71.1585
"C42 H49 O15 N3 S1",866.2819769,"N3 S1 O15","CHONS","Lignin",42,49,15,3,1,0,1.17,1.17,20,0.2787,-0.1905,65.72925
"C31 H54 O23 N3 P1",866.2819769,"N3 P1 O23","CHONP","Carbohydrate",31,54,23,3,0,1,1.74,1.74,7,-0.5484,0.0323,59.37945
"C55 H105 O4 N3",870.8039741,"N3 O4","CHON","Lipid",55,105,4,3,0,0,1.91,1.91,5,0,-1.6,105.9
"C44 H46 O12 N1 P1 S2",874.213896,"N1 S2 P1 O12","CHO","Other",44,46,12,1,2,1,1.05,1.05,23,0.3824,-0.3409,70.01565
"C48 H88 O7 N1 P1 S2",884.5677685,"N1 S2 P1 O7","CHO","Lipid",48,88,7,1,2,1,1.83,1.83,6,-0.037,-1.3958,100.0803
"C54 H46 O10 S1",885.2749495,"S1 O10","CHOS","Other",54,46,10,0,1,0,0.85,0.85,32,0.5417,-0.4444,72.9654
"C43 H51 O18 P1",885.2749495,"P1 O18","CHOP","Lignin",43,51,18,0,0,1,1.19,1.19,19,0.2727,-0.3488,70.2408
"C33 H58 O23 S2",885.2749495,"S2 O23","CHOS","Carbohydrate",33,58,23,0,2,0,1.76,1.76,5,-0.4359,-0.2424,67.2084
"C57 H47 O2 N2 P1 S2",885.2749495,"N2 S2 P1 O2","CHO","Other",57,47,2,2,2,1,0.82,0.82,36,0.5882,-0.5789,76.79865
"C45 H81 O14 N3",886.5655063,"N3 O14","CHON","Protein",45,81,14,3,0,0,1.8,1.8,7,-0.0857,-0.9778,88.1673
"C45 H83 O12 N3 S1",888.5634315,"N3 S1 O12","CHONS","Lipid",45,83,12,3,1,0,1.84,1.84,6,-0.1143,-1.0667,90.70095
"C45 H50 O13 N2 S2",889.2686107,"N2 S2 O13","CHONS","Lignin",45,50,13,2,2,0,1.11,1.11,22,0.3333,-0.3111,69.16635
"C44 H46 O18 N2",889.2686107,"N2 O18","CHON","Lignin",44,46,18,2,0,0,1.05,1.05,23,0.3636,-0.0909,62.89065
"C50 H41 O9 N3 S2",890.2218661,"N3 S2 O9","CHONS","Other",50,41,9,3,2,0,0.82,0.82,32,0.5556,-0.2,66
"C39 H46 O17 N3 P1 S1",890.2218661,"N3 S1 P1 O17","CHO","Lignin",39,46,17,3,1,1,1.18,1.18,19,0.2157,-0.0256,61.0296
"C55 H78 O5 N3 P1",890.5612736,"N3 P1 O5","CHONP","Unsat Hydrocarbon",55,78,5,3,0,1,1.42,1.42,19,0.2577,-1.0727,90.87195
"C45 H85 O10 N3 S2",890.5612736,"N3 S2 O10","CHONS","Lipid",45,85,10,3,2,0,1.89,1.89,5,-0.1429,-1.1556,93.2346
"C56 H46 O7 S2",893.2617584,"S2 O7","CHOS","Unsat Hydrocarbon",56,46,7,0,2,0,0.82,0.82,34,0.5644,-0.5,74.55
"C58 H43 O4 N2 P1 S1",893.2617584,"N2 S1 P1 O4","CHO","Unsat Hydrocarbon",58,43,4,2,1,1,0.74,0.74,39,0.6346,-0.4655,73.56675
"C37 H55 O17 N2 P1 S2",893.2617584,"N2 S2 P1 O17","CHO","Protein",37,55,17,2,2,1,1.49,1.49,12,-0.0638,-0.2973,68.77305
"C51 H79 O10 N1 S1",896.5365197,"N1 S1 O10","CHONS","Other",51,79,10,1,1,0,1.55,1.55,13,0.1364,-1.0588,90.4758
"C40 H84 O18 N1 P1",896.5365197,"N1 P1 O18","CHONP","Other",40,84,18,1,0,1,2.1,2.1,0,-0.3793,-1.125,92.3625
"C54 H80 O2 N3 P1 S2",896.5365197,"N3 S2 P1 O2","CHO","Other",54,80,2,3,2,1,1.48,1.48,17,0.2128,-1.1667,93.55095
"C53 H104 O7 N1 P1",896.7490391,"N1 P1 O7","CHONP","Lipid",53,104,7,1,0,1,1.96,1.96,3,-0.0526,-1.6415,107.08275
"C57 H41 O10 N1",898.2663995,"N1 O10","CHON","Cond Hydrocarbon",57,41,10,1,0,0,0.72,0.72,38,0.6275,-0.3158,69.3003
"C36 H53 O23 N1 S1",898.2663995,"N1 S1 O23","CHONS","Amino Sugar",36,53,23,1,1,0,1.47,1.47,11,-0.1111,-0.0556,61.8846
"C49 H45 O12 N3 S1",898.2663995,"N3 S1 O12","CHONS","Other",49,45,12,3,1,0,0.92,0.92,29,0.4872,-0.2041,66.11685
"C38 H50 O20 N3 P1",898.2663995,"N3 P1 O20","CHONP","Lignin",38,50,20,3,0,1,1.32,1.32,16,0.0833,-0.0263,61.04955
"C62 H45 O2 N1 S2",898.2825067,"N1 S2 O2","CHONS","Other",62,45,2,1,2,0,0.73,0.73,41,0.6379,-0.5484,75.9294
"C51 H50 O10 N1 P1 S1",898.2825067,"N1 S1 P1 O10","CHO","Other",51,50,10,1,1,1,0.98,0.98,28,0.4651,-0.4902,74.2707
"C30 H62 O23 N1 P1 S2",898.2825067,"N1 S2 P1 O23","CHO","Carbohydrate",30,62,23,1,2,1,2.07,2.07,1,-1,-0.3,68.85
"C43 H54 O12 N3 P1 S2",898.2825067,"N3 S2 P1 O12","CHO","Other",43,54,12,3,2,1,1.26,1.26,19,0.2258,-0.3953,71.56605
"C62 H47 O2 N1 S2",900.298398,"N1 S2 O2","CHONS","Other",62,47,2,1,2,0,0.76,0.76,40,0.6207,-0.5806,76.8471
"C51 H52 O10 N1 P1 S1",900.298398,"N1 S1 P1 O10","CHO","Other",51,52,10,1,1,1,1.02,1.02,27,0.4419,-0.5294,75.3879
"C30 H64 O23 N1 P1 S2",900.298398,"N1 S2 P1 O23","CHO","Carbohydrate",30,64,23,1,2,1,2.13,2.13,0,-1.069,-0.3667,70.75095
"C52 H104 O8 N1 P1",900.7434594,"N1 P1 O8","CHONP","Lipid",52,104,8,1,0,1,2,2,2,-0.087,-1.6346,106.8861
"C59 H115 O1 P1 S1",901.8341273,"S1 P1 O1","CHO","Lipid",59,115,1,0,1,1,1.95,1.95,3,0.0088,-1.8814,113.9199
"C57 H29 O11 N1",902.1675031,"N1 O11","CHON","Cond Hydrocarbon",57,29,11,1,0,0,0.51,0.51,44,0.7426,-0.0702,62.3007
"C38 H38 O21 N3 P1",902.1675031,"N3 P1 O21","CHONP","Lignin",38,38,21,3,0,1,1,1,22,0.3191,0.3421,50.55015
"C59 H37 O9 N1",902.2404649,"N1 O9","CHON","Cond Hydrocarbon",59,37,9,1,0,0,0.63,0.63,42,0.6822,-0.2712,68.0292
"C38 H49 O22 N1 S1",902.2404649,"N1 S1 O22","CHONS","Lignin",38,49,22,1,1,0,1.29,1.29,15,0.08,0,60.3
"C41 H50 O14 N3 P1 S2",902.2404649,"N3 S2 P1 O14","CHO","Lignin",41,50,14,3,2,1,1.22,1.22,19,0.2143,-0.2195,66.55575
"C51 H60 O8 N1 P1 S2",908.3438468,"N1 S2 P1 O8","CHO","Other",51,60,8,1,2,1,1.18,1.18,23,0.3488,-0.7255,80.97675
"C49 H55 O12 N3 S1",908.3438468,"N3 S1 O12","CHONS","Other",49,55,12,3,1,0,1.12,1.12,24,0.359,-0.4082,71.9337
"C50 H58 O11 N1 P1 S1",910.3408209,"N1 S1 P1 O11","CHO","Other",50,58,11,1,1,1,1.16,1.16,23,0.3494,-0.62,77.97
"C54 H106 O7 N1 P1",910.7642724,"N1 P1 O7","CHONP","Lipid",54,106,7,1,0,1,1.96,1.96,3,-0.0515,-1.6481,107.27085
"C60 H51 O6 N1 S1",912.3378046,"N1 S1 O6","CHONS","Unsat Hydrocarbon",60,51,6,1,1,0,0.85,0.85,36,0.5636,-0.5667,76.45095
"C49 H56 O14 N1 P1",912.3378046,"N1 P1 O14","CHONP","Lignin",49,56,14,1,0,1,1.14,1.14,23,0.35,-0.5102,74.8407
"C59 H49 O9 N1",914.3346035,"N1 O9","CHON","Other",59,49,9,1,0,0,0.83,0.83,36,0.5701,-0.4746,73.8261
"C38 H61 O22 N1 S1",914.3346035,"N1 S1 O22","CHONS","Amino Sugar",38,61,22,1,1,0,1.61,1.61,9,-0.16,-0.3158,69.3003
"C62 H50 O1 N3 P1 S1",914.3346035,"N3 S1 P1 O1","CHO","Other",62,50,1,3,1,1,0.81,0.81,40,0.6106,-0.5968,77.3088
"C41 H62 O14 N3 P1 S2",914.3346035,"N3 S2 P1 O14","CHO","Protein",41,62,14,3,2,1,1.51,1.51,13,0,-0.5122,74.8977
"C53 H106 O8 N1 P1",914.759135,"N1 P1 O8","CHONP","Lipid",53,106,8,1,0,1,2,2,2,-0.0851,-1.6415,107.08275
"C58 H109 O1 P1 S2",915.7590525,"S2 P1 O1","CHO","Lipid",58,109,1,0,2,1,1.88,1.88,5,0.0275,-1.7759,110.91315
"C60 H117 O1 P1 S1",915.8495648,"S1 P1 O1","CHO","Lipid",60,117,1,0,1,1,1.95,1.95,3,0.0087,-1.8833,113.97405
"C59 H51 O7 N1 S1",916.3318861,"N1 S1 O7","CHONS","Unsat Hydrocarbon",59,51,7,1,1,0,0.86,0.86,35,0.5514,-0.5424,75.7584
"C38 H63 O20 N1 S2",916.3318861,"N1 S2 O20","CHONS","Protein",38,63,20,1,2,0,1.66,1.66,8,-0.2,-0.4211,72.30135
"C61 H48 O4 N3 P1",916.3318861,"N3 P1 O4","CHONP","Unsat Hydrocarbon",61,48,4,3,0,1,0.79,0.79,40,0.6182,-0.5082,74.7837
"C51 H55 O9 N3 S2",916.3318861,"N3 S2 O9","CHONS","Other",51,55,9,3,2,0,1.08,1.08,26,0.3976,-0.4706,73.7121
"C40 H60 O17 N3 P1 S1",916.3318861,"N3 S1 P1 O17","CHO","Protein",40,60,17,3,1,1,1.5,1.5,13,-0.0189,-0.375,70.9875
"C67 H37 O2 N1 S1",918.2483898,"N1 S1 O2","CHONS","Other",67,37,2,1,1,0,0.55,0.55,50,0.7344,-0.4179,72.21015
"C56 H42 O10 N1 P1",918.2483898,"N1 P1 O10","CHONP","Cond Hydrocarbon",56,42,10,1,0,1,0.75,0.75,37,0.6122,-0.3393,69.97005
"C46 H49 O15 N1 S2",918.2483898,"N1 S2 O15","CHONS","Lignin",46,49,15,1,2,0,1.07,1.07,23,0.3521,-0.2609,67.73565
"C35 H54 O23 N1 P1 S1",918.2483898,"N1 S1 P1 O23","CHO","Amino Sugar",35,54,23,1,1,1,1.54,1.54,10,-0.2195,-0.0857,62.74245
"C67 H39 O1 P1 S1",921.2399108,"S1 P1 O1","CHO","Other",67,39,1,0,1,1,0.58,0.58,49,0.7209,-0.5224,75.1884
"C46 H51 O14 P1 S2",921.2399108,"S2 P1 O14","CHO","Lignin",46,51,14,0,2,1,1.11,1.11,22,0.3333,-0.413,72.0705
"C44 H46 O18 N2 S1",921.2399108,"N2 S1 O18","CHONS","Lignin",44,46,18,2,1,0,1.05,1.05,23,0.3438,-0.0455,61.59675
"C45 H49 O20 N1",922.2784542,"N1 O20","CHON","Lignin",45,49,20,1,0,0,1.09,1.09,22,0.3235,-0.1333,64.09905
"C59 H45 O4 N3 S2",922.2784542,"N3 S2 O4","CHONS","Unsat Hydrocarbon",59,45,4,3,2,0,0.76,0.76,39,0.6154,-0.4068,71.8938
"C43 H44 O21 N2",923.23731,"N2 O21","CHON","Lignin",43,44,21,2,0,0,1.02,1.02,23,0.3443,0.093,57.6495
"C54 H108 O8 N1 P1",928.7750053,"N1 P1 O8","CHONP","Lipid",54,108,8,1,0,1,2,2,2,-0.0833,-1.6481,107.27085
"C58 H107 O6 P1",929.7744653,"P1 O6","CHOP","Lipid",58,107,6,0,0,1,1.84,1.84,6,0.037,-1.6379,106.98015
"C61 H119 O1 P1 S1",929.865355,"S1 P1 O1","CHO","Lipid",61,119,1,0,1,1,1.95,1.95,3,0.0085,-1.8852,114.0282
