"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C11 H20 O4",215.1290643,"O4","CHO","Protein",11,20,4,0,0,0,1.82,1.82,2,0,-1.0909,91.39065
"C12 H24 O3",215.1654673,"O3","CHO","Lipid",12,24,3,0,0,0,2,2,1,-0.0476,-1.5,103.05
"C9 H15 O5 N1",216.0879397,"N1 O5","CHON","Amino Sugar",9,15,5,1,0,0,1.67,1.67,3,-0.0909,-0.2222,66.6327
"C10 H19 O4 N1",216.1243242,"N1 O4","CHON","Protein",10,19,4,1,0,0,1.9,1.9,2,-0.1429,-0.8,83.1
"C8 H10 O7",217.0355505,"O7","CHO","Tannin",8,10,7,0,0,0,1.25,1.25,4,0.1111,0.5,46.05
"C12 H10 O4",217.0508106,"O4","CHO","Lignin",12,10,4,0,0,0,0.83,0.83,8,0.6,-0.1667,65.05095
"C9 H14 O6",217.0719565,"O6","CHO","Amino Sugar",9,14,6,0,0,0,1.56,1.56,3,0,-0.2222,66.6327
"C13 H14 O3",217.0871963,"O3","CHO","Other",13,14,3,0,0,0,1.08,1.08,7,0.4783,-0.6154,77.8389
"C10 H18 O5",217.10833,"O5","CHO","Protein",10,18,5,0,0,0,1.8,1.8,2,-0.0667,-0.8,83.1
"C11 H22 O4",217.1447159,"O4","CHO","Protein",11,22,4,0,0,0,2,2,1,-0.1111,-1.2727,96.57195
"C8 H13 O6 N1",218.0672043,"N1 O6","CHON","Carbohydrate",8,13,6,1,0,0,1.62,1.62,3,-0.25,0.25,53.175
"C9 H17 O5 N1",218.1035648,"N1 O5","CHON","Other",9,17,5,1,0,0,1.89,1.89,2,-0.2727,-0.4444,72.9654
"C11 H8 O5",219.030087,"O5","CHO","Cond Hydrocarbon",11,8,5,0,0,0,0.73,0.73,8,0.6471,0.1818,55.1187
"C8 H12 O7",219.0512076,"O7","CHO","Carbohydrate",8,12,7,0,0,0,1.5,1.5,3,-0.1111,0.25,53.175
