"","fticrWEOM_processed_60846_2_BTM_rep1_aq2","fticrWEOM_processed_60846_5_BTM_rep1_aq2"
"C18 H23 O11 N1",1,1
"C15 H28 O11 N1 P1",1,1
"C19 H27 O10 N1",1,1
"C16 H32 O10 N1 P1",1,0
"C16 H31 O12 N1",1,0
"C20 H31 O9 N1",1,1
"C24 H31 O6 N1",1,1
"C21 H35 O8 N1",1,0
"C11 H11 O12 P1 S2",1,1
"C18 H6 O9 S2",1,0
"C19 H14 O10 N2",1,0
"C17 H19 O11 P1",1,1
"C17 H18 O13",1,1
"C21 H18 O10",1,1
"C18 H23 O10 P1",1,1
"C18 H22 O12",1,1
"C22 H22 O9",1,1
"C19 H27 O9 P1",1,1
"C19 H26 O11",1,1
"C16 H30 O11 S1",1,0
"C16 H31 O11 P1",1,1
"C23 H26 O8",1,1
"C20 H31 O8 P1",1,1
"C20 H30 O10",1,1
"C17 H35 O10 P1",1,0
"C24 H30 O7",1,1
"C21 H35 O7 P1",1,1
"C21 H34 O9",1,1
"C25 H34 O6",1,1
"C22 H39 O6 P1",1,0
"C22 H38 O8",1,1
"C23 H42 O7",1,1
"C24 H46 O6",1,0
"C25 H51 O3 P1",1,0
"C13 H6 O12 N1 P1 S1",1,1
"C20 H17 O10 N1",1,1
"C19 H17 O9 N3",1,0
"C17 H21 O12 N1",1,1
"C22 H26 O2 N1 P1 S2",1,0
"C21 H21 O9 N1",1,1
"C18 H26 O9 N1 P1",1,0
"C18 H25 O11 N1",1,1
"C15 H30 O11 N1 P1",1,1
"C22 H25 O8 N1",1,1
"C19 H29 O10 N1",1,1
"C20 H33 O9 N1",1,1
"C24 H33 O6 N1",1,0
"C21 H21 O4 P1 S2",1,0
"C20 H16 O11",1,1
"C17 H21 O11 P1",1,1
"C21 H20 O10",1,1
"C21 H25 O2 N2 P1 S2",1,0
"C18 H25 O10 P1",1,1
"C18 H24 O12",1,1
"C22 H24 O9",1,1
"C19 H29 O9 P1",1,1
"C19 H28 O11",1,1
"C16 H33 O11 P1",1,1
"C23 H28 O8",1,1
"C20 H33 O8 P1",1,1
"C20 H32 O10",1,1
"C24 H32 O7",1,1
"C21 H37 O7 P1",1,1
"C21 H36 O9",1,1
"C25 H36 O6",1,1
"C22 H41 O6 P1",1,0
"C22 H40 O8",1,1
"C21 H41 O5 N2 P1",1,0
"C23 H45 O5 P1",1,0
"C23 H44 O7",1,0
"C25 H53 O3 P1",1,0
"C16 H19 O13 N1",1,1
"C20 H19 O10 N1",1,1
"C17 H23 O12 N1",1,1
"C21 H23 O9 N1",1,1
"C18 H27 O11 N1",1,1
"C22 H27 O8 N1",1,1
"C19 H31 O10 N1",1,1
"C23 H32 O5 N1 P1",1,1
"C20 H35 O9 N1",1,1
"C21 H39 O8 N1",1,0
"C24 H51 O5 N1",1,0
"C18 H10 O9 S2",1,0
"C16 H19 O12 P1",1,1
"C20 H18 O11",1,1
"C17 H23 O11 P1",1,1
"C25 H23 O3 P1 S1",1,1
"C21 H22 O10",1,1
"C18 H27 O10 P1",1,1
"C18 H26 O12",1,1
"C22 H27 O7 P1",1,1
"C22 H26 O9",1,1
"C19 H31 O9 P1",1,1
"C19 H30 O11",1,1
"C23 H30 O8",1,1
"C22 H30 O7 N2",1,1
"C20 H35 O8 P1",1,1
"C20 H34 O10",1,1
"C24 H35 O5 P1",1,0
"C24 H34 O7",1,1
"C21 H39 O7 P1",1,1
"C21 H38 O9",1,1
"C22 H43 O6 P1",1,1
"C23 H47 O5 P1",1,0
"C16 H21 O13 N1",1,1
"C20 H21 O10 N1",1,1
"C17 H25 O12 N1",1,1
"C21 H25 O9 N1",1,1
"C18 H29 O11 N1",1,1
"C22 H29 O8 N1",1,1
"C19 H34 O8 N1 P1",1,0
"C19 H33 O10 N1",1,1
"C23 H33 O7 N1",1,0
"C20 H37 O9 N1",1,1
"C21 H41 O8 N1",1,0
"C23 H17 O5 P1 S1",1,0
"C19 H16 O12",1,1
"C16 H21 O12 P1",1,1
"C20 H20 O11",1,1
"C17 H25 O11 P1",1,1
"C21 H25 O8 P1",1,1
"C21 H24 O10",1,1
"C20 H24 O9 N2",1,1
"C18 H29 O10 P1",1,1
"C22 H29 O7 P1",1,1
"C22 H28 O9",1,1
"C19 H33 O9 P1",1,1
"C19 H32 O11",1,1
"C23 H33 O6 P1",1,1
"C23 H32 O8",1,1
"C20 H37 O8 P1",1,1
"C24 H36 O7",1,1
"C21 H41 O7 P1",1,1
"C22 H45 O6 P1",1,0
"C23 H49 O5 P1",1,0
"C19 H19 O11 N1",1,1
"C16 H23 O13 N1",1,1
"C20 H23 O10 N1",1,1
"C17 H28 O10 N1 P1",1,0
"C17 H27 O12 N1",1,1
"C21 H27 O9 N1",1,1
"C18 H32 O9 N1 P1",1,1
"C18 H31 O11 N1",1,1
"C22 H31 O8 N1",1,1
"C19 H35 O10 N1",1,1
"C20 H39 O9 N1",1,0
"C13 H10 O15 S1",1,1
"C15 H7 O12 N2 P1",1,1
"C20 H7 O10 P1",1,0
"C19 H19 O10 P1",1,1
"C19 H18 O12",1,1
"C16 H23 O12 P1",1,1
"C23 H18 O9",1,1
"C20 H23 O9 P1",1,1
"C20 H22 O11",1,1
"C19 H22 O10 N2",1,1
"C17 H27 O11 P1",1,1
"C24 H22 O8",1,1
"C21 H27 O8 P1",1,1
"C21 H26 O10",1,1
"C18 H31 O10 P1",1,1
"C22 H31 O7 P1",1,1
"C17 H30 O11 N2",1,0
"C22 H30 O9",1,1
"C19 H35 O9 P1",1,1
"C23 H34 O8",1,1
"C20 H39 O8 P1",1,1
"C24 H38 O7",1,1
"C21 H43 O7 P1",1,0
"C22 H47 O6 P1",1,0
"C18 H22 O4 N3 P1 S2",1,0
"C23 H22 O2 N1 P1 S2",1,0
"C15 H21 O14 N1",1,1
"C19 H21 O11 N1",1,1
"C24 H26 O1 N1 P1 S2",1,0
"C16 H26 O11 N1 P1",1,1
"C16 H25 O13 N1",1,1
"C20 H25 O10 N1",1,1
"C17 H30 O10 N1 P1",1,1
"C17 H29 O12 N1",1,1
"C21 H29 O9 N1",1,1
"C18 H34 O9 N1 P1",1,1
"C18 H33 O11 N1",1,1
"C19 H37 O10 N1",1,1
"C16 H8 O13 S1",1,1
"C12 H13 O10 N2 P1 S2",1,0
"C18 H16 O13",1,1
"C15 H20 O13 S1",1,0
"C19 H21 O10 P1",1,1
"C13 H29 O10 P1 S2",1,1
"C19 H20 O12",1,1
"C16 H24 O12 S1",1,0
"C12 H29 O9 N2 P1 S2",1,1
"C16 H25 O12 P1",1,1
"C23 H20 O9",1,1
"C20 H25 O9 P1",1,1
"C20 H24 O11",1,1
"C17 H29 O11 P1",1,1
"C24 H24 O8",1,1
"C21 H29 O8 P1",1,1
"C21 H28 O10",1,1
"C18 H33 O10 P1",1,1
"C25 H28 O7",1,1
"C22 H33 O7 P1",1,1
"C22 H32 O9",1,1
"C19 H37 O9 P1",1,1
"C23 H36 O8",1,1
"C20 H41 O8 P1",1,1
"C24 H40 O7",1,1
"C21 H44 O7 S1",1,0
"C25 H44 O6",1,1
"C27 H52 O4",1,0
"C22 H19 O7 N1 S1",1,0
"C18 H19 O12 N1",1,1
"C19 H23 O11 N1",1,1
"C24 H28 O1 N1 P1 S2",1,1
"C16 H28 O11 N1 P1",1,1
"C20 H27 O10 N1",1,1
"C17 H32 O10 N1 P1",1,1
"C17 H31 O12 N1",1,1
"C21 H31 O9 N1",1,1
"C18 H35 O11 N1",1,1
"C22 H35 O8 N1",1,0
"C19 H39 O10 N1",1,0
"C11 H11 O11 N2 P1 S2",1,1
"C32 H11 O1 P1",1,0
"C22 H18 O6 S2",1,0
"C18 H19 O11 P1",1,1
"C18 H18 O13",1,1
"C11 H27 O10 N2 P1 S2",1,1
"C22 H18 O10",1,1
"C19 H23 O10 P1",1,1
"C23 H22 O7 S1",1,0
"C19 H22 O12",1,1
"C23 H22 O9",1,1
"C20 H26 O9 S1",1,1
"C24 H27 O4 P1 S1",1,1
"C20 H27 O9 P1",1,1
"C20 H26 O11",1,1
"C17 H30 O11 S1",1,0
"C17 H31 O11 P1",1,1
"C24 H26 O8",1,1
"C17 H30 O13",1,0
"C21 H31 O8 P1",1,1
"C21 H30 O10",1,1
"C18 H35 O10 P1",1,1
"C25 H30 O7",1,1
"C24 H30 O6 N2",1,1
"C22 H35 O7 P1",1,1
"C22 H34 O9",1,1
"C19 H39 O9 P1",1,1
"C23 H39 O6 P1",1,1
"C23 H38 O8",1,1
"C20 H42 O8 S1",1,1
"C20 H43 O8 P1",1,0
"C24 H42 O7",1,1
"C28 H42 O4",1,0
"C25 H46 O6",1,0
"C26 H50 O5",1,0
"C18 H21 O12 N1",1,1
"C23 H26 O2 N1 P1 S2",1,1
"C15 H26 O12 N1 P1",1,0
"C21 H21 O8 N3",1,0
"C19 H25 O11 N1",1,1
"C24 H30 O1 N1 P1 S2",1,1
"C16 H30 O11 N1 P1",1,1
"C20 H29 O10 N1",1,1
"C17 H34 O10 N1 P1",1,0
"C21 H33 O9 N1",1,1
"C22 H37 O8 N1",1,0
"C21 H37 O7 N3",1,0
"C23 H13 O4 N2 P1 S1",1,0
"C11 H25 O12 P1 S2",1,0
"C21 H16 O11",1,1
"C20 H16 O10 N2",1,0
"C18 H21 O11 P1",1,1
"C18 H20 O13",1,1
"C22 H20 O10",1,1
"C19 H25 O10 P1",1,1
"C19 H24 O12",1,1
"C23 H24 O9",1,1
"C20 H29 O9 P1",1,1
"C20 H28 O11",1,1
"C17 H33 O11 P1",1,0
"C24 H28 O8",1,1
"C21 H33 O8 P1",1,1
"C21 H32 O10",1,1
"C18 H37 O10 P1",1,1
"C25 H32 O7",1,1
"C22 H37 O7 P1",1,1
"C22 H36 O9",1,1
"C19 H41 O9 P1",1,0
"C26 H36 O6",1,1
"C23 H41 O6 P1",1,0
"C23 H40 O8",1,1
"C24 H44 O7",1,1
"C25 H48 O6",1,0
"C14 H8 O12 N1 P1 S1",1,0
"C17 H19 O13 N1",1,1
"C18 H23 O12 N1",1,1
"C23 H28 O2 N1 P1 S2",1,1
"C22 H23 O9 N1",1,1
"C19 H27 O11 N1",1,1
"C20 H31 O10 N1",1,1
"C24 H31 O7 N1",1,1
"C21 H35 O9 N1",1,1
"C22 H39 O8 N1",1,0
"C18 H6 O12 S1",1,0
"C17 H19 O12 P1",1,1
"C21 H18 O11",1,1
"C18 H23 O11 P1",1,1
"C18 H22 O13",1,1
"C26 H22 O5 S1",1,0
"C15 H27 O13 P1",1,0
"C22 H22 O10",1,1
"C19 H27 O10 P1",1,1
"C19 H26 O12",1,1
"C16 H31 O12 P1",1,1
"C23 H26 O9",1,1
"C20 H31 O9 P1",1,1
"C20 H30 O11",1,1
"C17 H35 O11 P1",1,1
"C24 H30 O8",1,1
"C21 H35 O8 P1",1,1
"C21 H34 O10",1,1
"C25 H34 O7",1,1
"C22 H39 O7 P1",1,1
"C22 H38 O9",1,1
"C23 H43 O6 P1",1,0
"C23 H42 O8",1,1
"C24 H46 O7",1,0
"C25 H51 O4 P1",1,0
"C26 H55 O3 P1",1,0
"C20 H17 O11 N1",1,1
"C17 H21 O13 N1",1,1
"C21 H21 O10 N1",1,1
"C18 H25 O12 N1",1,1
"C23 H30 O2 N1 P1 S2",1,0
"C22 H25 O9 N1",1,1
"C19 H29 O11 N1",1,1
"C20 H33 O10 N1",1,1
"C24 H33 O7 N1",1,1
"C21 H37 O9 N1",1,1
"C20 H16 O12",1,1
"C13 H25 O9 N2 P1 S2",1,0
"C17 H21 O12 P1",1,1
"C21 H20 O11",1,1
"C18 H25 O11 P1",1,1
"C22 H25 O8 P1",1,0
"C22 H24 O10",1,1
"C19 H29 O10 P1",1,1
"C19 H28 O12",1,1
"C23 H29 O7 P1",1,1
"C16 H33 O12 P1",1,1
"C23 H28 O9",1,1
"C20 H33 O9 P1",1,1
"C20 H32 O11",1,1
"C24 H32 O8",1,1
"C21 H37 O8 P1",1,1
"C21 H36 O10",1,1
"C25 H36 O7",1,1
"C22 H41 O7 P1",1,1
"C22 H40 O9",1,1
"C23 H45 O6 P1",1,0
"C24 H49 O5 P1",1,0
"C25 H53 O4 P1",1,0
"C20 H19 O11 N1",1,1
"C17 H23 O13 N1",1,1
"C21 H23 O10 N1",1,1
"C29 H23 O2 N1 S1",1,1
"C18 H28 O10 N1 P1",1,1
"C18 H27 O12 N1",1,1
"C22 H27 O9 N1",1,1
"C19 H31 O11 N1",1,1
"C23 H32 O6 N1 P1",1,0
"C20 H35 O10 N1",1,1
"C21 H39 O9 N1",1,1
"C17 H6 O13 S1",1,0
"C20 H18 O12",1,1
"C17 H23 O12 P1",1,1
"C21 H23 O9 P1",1,1
"C21 H22 O11",1,1
"C20 H22 O10 N2",1,1
"C18 H27 O11 P1",1,1
"C22 H27 O8 P1",1,1
"C22 H26 O10",1,1
"C19 H30 O10 S1",1,0
"C19 H31 O10 P1",1,1
"C23 H31 O7 P1",1,1
"C18 H30 O11 N2",1,0
"C23 H30 O9",1,1
"C20 H35 O9 P1",1,1
"C20 H34 O11",1,1
"C24 H34 O8",1,1
"C21 H39 O8 P1",1,1
"C21 H38 O10",1,0
"C22 H43 O7 P1",1,1
"C23 H47 O6 P1",1,0
"C24 H51 O5 P1",1,0
"C12 H10 O14 N3 P1",1,1
"C20 H21 O11 N1",1,1
"C25 H26 O1 N1 P1 S2",1,1
"C17 H25 O13 N1",1,1
"C21 H25 O10 N1",1,1
"C29 H25 O2 N1 S1",1,1
"C18 H30 O10 N1 P1",1,1
"C18 H29 O12 N1",1,1
"C22 H29 O9 N1",1,1
"C19 H34 O9 N1 P1",1,1
"C19 H33 O11 N1",1,1
"C20 H38 O8 N1 P1",1,0
"C20 H37 O10 N1",1,1
"C14 H12 O15 S1",1,0
"C16 H9 O12 N2 P1",1,0
"C11 H21 O11 N2 P1 S2",1,0
"C19 H16 O13",1,1
"C24 H20 O5 S2",1,0
"C20 H20 O12",1,1
"C17 H25 O12 P1",1,1
"C24 H20 O9",1,1
"C21 H25 O9 P1",1,1
"C21 H24 O11",1,1
"C14 H33 O8 N2 P1 S2",1,1
"C20 H24 O10 N2",1,1
"C18 H29 O11 P1",1,1
"C25 H24 O8",1,1
"C22 H29 O8 P1",1,1
"C22 H28 O10",1,1
"C19 H32 O10 S1",1,0
"C19 H33 O10 P1",1,1
"C23 H33 O7 P1",1,1
"C18 H32 O11 N2",1,0
"C23 H32 O9",1,1
"C20 H37 O9 P1",1,1
"C24 H36 O8",1,1
"C21 H41 O8 P1",1,1
"C25 H40 O7",1,1
"C22 H45 O7 P1",1,1
"C19 H19 O12 N1",1,1
"C20 H23 O11 N1",1,1
"C17 H28 O11 N1 P1",1,0
"C17 H27 O13 N1",1,1
"C21 H27 O10 N1",1,1
"C18 H32 O10 N1 P1",1,1
"C18 H31 O12 N1",1,1
"C22 H31 O9 N1",1,1
"C19 H36 O9 N1 P1",1,0
"C19 H35 O11 N1",1,1
"C20 H39 O10 N1",1,0
"C17 H10 O13 S1",1,1
"C19 H18 O13",1,1
"C23 H18 O10",1,1
"C20 H23 O10 P1",1,1
"C20 H22 O12",1,1
"C13 H31 O9 N2 P1 S2",1,1
"C17 H27 O12 P1",1,1
"C24 H22 O9",1,1
"C21 H27 O9 P1",1,1
"C21 H26 O11",1,1
"C18 H31 O11 P1",1,1
"C25 H26 O8",1,1
"C22 H31 O8 P1",1,1
"C22 H30 O10",1,1
"C19 H35 O10 P1",1,1
"C23 H35 O7 P1",1,1
"C23 H34 O9",1,1
"C20 H39 O9 P1",1,1
"C24 H38 O8",1,1
"C21 H43 O8 P1",1,1
"C25 H42 O7",1,1
"C26 H46 O6",1,0
"C20 H13 O6 N3 S2",1,0
"C23 H21 O7 N1 S1",1,0
"C19 H21 O12 N1",1,1
"C24 H26 O2 N1 P1 S2",1,1
"C16 H26 O12 N1 P1",1,0
"C20 H25 O11 N1",1,1
"C25 H30 O1 N1 P1 S2",1,1
"C17 H30 O11 N1 P1",1,1
"C21 H29 O10 N1",1,1
"C18 H34 O10 N1 P1",1,1
"C18 H33 O12 N1",1,1
"C22 H33 O9 N1",1,1
"C19 H37 O11 N1",1,1
"C12 H13 O11 N2 P1 S2",1,1
"C14 H17 O11 P1 S2",1,0
"C19 H21 O11 P1",1,1
"C19 H20 O13",1,1
"C12 H29 O10 N2 P1 S2",1,1
"C23 H20 O10",1,1
"C20 H25 O10 P1",1,1
"C20 H24 O12",1,1
"C24 H24 O9",1,1
"C21 H28 O9 S1",1,1
"C21 H29 O9 P1",1,1
"C21 H28 O11",1,1
"C18 H33 O11 P1",1,1
"C25 H28 O8",1,1
"C22 H33 O8 P1",1,1
"C22 H32 O10",1,1
"C19 H37 O10 P1",1,1
"C26 H32 O7",1,1
"C23 H37 O7 P1",1,1
"C23 H36 O9",1,1
"C20 H41 O9 P1",1,1
"C24 H40 O8",1,1
"C21 H44 O8 S1",1,0
"C25 H44 O7",1,1
"C29 H44 O4",1,0
"C26 H48 O6",1,0
"C27 H52 O5",1,0
"C19 H11 O9 N3 S1",1,0
"C19 H23 O12 N1",1,1
"C24 H28 O2 N1 P1 S2",1,0
"C16 H28 O12 N1 P1",1,0
"C20 H27 O11 N1",1,1
"C17 H32 O11 N1 P1",1,1
"C21 H31 O10 N1",1,1
"C18 H35 O12 N1",1,0
"C22 H35 O9 N1",1,1
"C13 H15 O14 P1 S1",1,0
"C21 H14 O8 S2",1,0
"C18 H19 O12 P1",1,1
"C11 H27 O11 N2 P1 S2",1,0
"C22 H18 O11",1,1
"C19 H23 O11 P1",1,1
"C19 H22 O13",1,1
"C23 H22 O10",1,1
"C24 H27 O5 P1 S1",1,0
"C20 H27 O10 P1",1,1
"C20 H26 O12",1,1
"C24 H26 O9",1,1
"C21 H31 O9 P1",1,1
"C21 H30 O11",1,1
"C18 H35 O11 P1",1,1
"C25 H30 O8",1,1
"C22 H35 O8 P1",1,1
"C22 H34 O10",1,1
"C19 H39 O10 P1",1,1
"C26 H34 O7",1,1
"C23 H39 O7 P1",1,1
"C23 H38 O9",1,1
"C20 H43 O9 P1",1,0
"C24 H42 O8",1,1
"C28 H42 O5",1,0
"C25 H46 O7",1,1
"C26 H50 O6",1,0
"C18 H21 O13 N1",1,1
"C19 H25 O12 N1",1,1
"C16 H30 O12 N1 P1",1,0
"C23 H25 O9 N1",1,1
"C20 H29 O11 N1",1,1
"C17 H34 O11 N1 P1",1,0
"C21 H33 O10 N1",1,1
"C22 H37 O9 N1",1,1
"C23 H42 O6 N1 P1",1,0
"C11 H13 O12 N2 P1 S2",1,1
"C20 H12 O11 S1",1,0
"C20 H12 O13",1,1
"C21 H16 O12",1,1
"C18 H21 O12 P1",1,1
"C22 H20 O11",1,1
"C19 H25 O11 P1",1,1
"C19 H24 O13",1,1
"C16 H29 O13 P1",1,0
"C23 H24 O10",1,1
"C24 H29 O5 P1 S1",1,0
"C20 H29 O10 P1",1,1
"C20 H28 O12",1,1
"C24 H28 O9",1,1
"C21 H33 O9 P1",1,1
"C21 H32 O11",1,1
"C25 H32 O8",1,1
"C22 H37 O8 P1",1,1
"C22 H36 O10",1,1
"C26 H37 O5 P1",1,1
"C21 H36 O9 N2",1,0
"C26 H36 O7",1,1
"C23 H41 O7 P1",1,1
"C23 H40 O9",1,1
"C24 H45 O6 P1",1,0
"C24 H44 O8",1,1
"C27 H57 O3 P1",1,0
"C20 H15 O10 N1 S1",1,0
"C18 H23 O13 N1",1,1
"C22 H23 O10 N1",1,1
"C21 H23 O9 N3",1,0
"C19 H27 O12 N1",1,1
"C23 H27 O9 N1",1,1
"C20 H31 O11 N1",1,1
"C24 H31 O8 N1",1,0
"C21 H35 O10 N1",1,1
"C25 H35 O7 N1",1,0
"C22 H39 O9 N1",1,1
"C22 H11 O8 N2 P1",1,0
"C12 H18 O13 N2 S2",1,0
"C21 H18 O12",1,1
"C18 H23 O12 P1",1,1
"C22 H22 O11",1,1
"C19 H27 O11 P1",1,1
"C19 H26 O13",1,1
"C23 H27 O8 P1",1,1
"C23 H26 O10",1,1
"C20 H31 O10 P1",1,1
"C20 H30 O12",1,1
"C27 H30 O1 N2 S2",1,0
"C16 H35 O9 N2 P1 S1",1,0
"C24 H30 O9",1,1
"C21 H35 O9 P1",1,1
"C21 H34 O11",1,1
"C25 H34 O8",1,1
"C22 H39 O8 P1",1,1
"C22 H38 O10",1,1
"C21 H39 O7 N2 P1",1,0
"C26 H38 O7",1,1
"C23 H43 O7 P1",1,1
"C23 H42 O9",1,1
"C27 H43 O4 P1",1,1
"C24 H47 O6 P1",1,0
"C25 H51 O5 P1",1,0
"C26 H55 O4 P1",1,0
"C17 H21 O14 N1",1,0
"C26 H26 O1 N1 P1 S2",1,0
"C18 H25 O13 N1",1,1
"C22 H25 O10 N1",1,1
"C19 H29 O12 N1",1,1
"C23 H29 O9 N1",1,1
"C20 H34 O9 N1 P1",1,0
"C20 H33 O11 N1",1,1
"C24 H33 O8 N1",1,1
"C21 H37 O10 N1",1,1
"C22 H41 O9 N1",1,0
"C26 H41 O6 N1",1,0
"C18 H8 O13 S1",1,0
"C30 H9 O2 P1 S1",1,1
"C17 H21 O13 P1",1,1
"C21 H21 O10 P1",1,0
"C21 H20 O12",1,1
"C18 H25 O12 P1",1,1
"C22 H25 O9 P1",1,1
"C22 H24 O11",1,1
"C21 H24 O10 N2",1,1
"C19 H29 O11 P1",1,1
"C23 H29 O8 P1",1,1
"C23 H28 O10",1,1
"C20 H33 O10 P1",1,1
"C24 H33 O7 P1",1,1
"C24 H32 O9",1,1
"C21 H37 O9 P1",1,1
"C21 H36 O11",1,1
"C25 H36 O8",1,1
"C22 H41 O8 P1",1,1
"C23 H45 O7 P1",1,1
"C24 H49 O6 P1",1,0
"C25 H53 O5 P1",1,0
"C25 H8 O3 N1 P1 S2",1,0
"C13 H12 O14 N3 P1",1,1
"C17 H23 O14 N1",1,0
"C21 H23 O11 N1",1,1
"C26 H28 O1 N1 P1 S2",1,0
"C18 H27 O13 N1",1,1
"C22 H27 O10 N1",1,1
"C19 H32 O10 N1 P1",1,0
"C19 H31 O12 N1",1,1
"C23 H31 O9 N1",1,1
"C20 H36 O9 N1 P1",1,0
"C20 H35 O11 N1",1,1
"C21 H40 O8 N1 P1",1,0
"C21 H39 O10 N1",1,1
"C19 H14 O10 S2",1,1
"C20 H18 O13",1,1
"C28 H18 O5 S1",1,0
"C17 H23 O13 P1",1,1
"C21 H23 O10 P1",1,1
"C21 H22 O12",1,1
"C18 H27 O12 P1",1,1
"C25 H22 O9",1,1
"C22 H27 O9 P1",1,1
"C22 H26 O11",1,1
"C15 H35 O8 N2 P1 S2",1,1
"C19 H31 O11 P1",1,1
"C26 H26 O8",1,1
"C23 H31 O8 P1",1,1
"C30 H26 O5",1,0
"C23 H30 O10",1,1
"C20 H35 O10 P1",1,1
"C24 H35 O7 P1",1,1
"C24 H34 O9",1,1
"C21 H39 O9 P1",1,1
"C25 H38 O8",1,1
"C22 H43 O8 P1",1,1
"C23 H47 O7 P1",1,1
"C27 H46 O4 S1",1,0
"C12 H6 O13 N1 P1 S2",1,0
"C18 H13 O14 N1",1,0
"C20 H21 O12 N1",1,1
"C25 H26 O2 N1 P1 S2",1,1
"C21 H25 O11 N1",1,1
"C26 H30 O1 N1 P1 S2",1,1
"C18 H29 O13 N1",1,1
"C22 H29 O10 N1",1,1
"C19 H34 O10 N1 P1",1,1
"C19 H33 O12 N1",1,1
"C23 H33 O9 N1",1,1
"C20 H38 O9 N1 P1",1,0
"C20 H37 O11 N1",1,1
"C21 H46 O4 N3 P1 S1",1,0
"C18 H12 O13 S1",1,0
"C11 H21 O12 N2 P1 S2",1,0
"C15 H17 O15 P1",1,1
"C20 H21 O11 P1",1,1
"C20 H20 O13",1,1
"C13 H29 O10 N2 P1 S2",1,0
"C24 H20 O10",1,1
"C21 H25 O10 P1",1,1
"C21 H24 O12",1,1
"C14 H33 O9 N2 P1 S2",1,1
"C18 H29 O12 P1",1,1
"C25 H24 O9",1,1
"C26 H29 O4 P1 S1",1,0
"C22 H29 O9 P1",1,1
"C22 H28 O11",1,1
"C19 H32 O11 S1",1,0
"C19 H33 O11 P1",1,1
"C26 H28 O8",1,1
"C14 H32 O15 N2",1,1
"C23 H33 O8 P1",1,1
"C18 H32 O12 N2",1,0
"C23 H32 O10",1,1
"C20 H37 O10 P1",1,1
"C24 H37 O7 P1",1,1
"C24 H36 O9",1,1
"C21 H41 O9 P1",1,1
"C22 H45 O8 P1",1,1
"C26 H44 O7",1,0
"C27 H48 O6",1,0
"C15 H20 O14 N1 P1",1,0
"C24 H24 O3 N1 P1 S2",1,1
"C20 H23 O12 N1",1,1
"C25 H28 O2 N1 P1 S2",1,1
"C17 H28 O12 N1 P1",1,1
"C21 H27 O11 N1",1,1
"C26 H32 O1 N1 P1 S2",1,1
"C18 H32 O11 N1 P1",1,1
"C22 H31 O10 N1",1,1
"C19 H36 O10 N1 P1",1,0
"C19 H35 O12 N1",1,1
"C20 H40 O9 N1 P1",1,0
"C20 H39 O11 N1",1,0
"C13 H15 O11 N2 P1 S2",1,0
"C25 H15 O4 N2 P1 S1",1,0
"C23 H19 O7 P1 S1",1,1
"C19 H18 O14",1,1
"C23 H18 O11",1,1
"C20 H23 O11 P1",1,1
"C20 H22 O13",1,1
"C13 H31 O10 N2 P1 S2",1,1
"C24 H22 O10",1,1
"C21 H27 O10 P1",1,1
"C21 H26 O12",1,1
"C25 H26 O9",1,1
"C22 H31 O9 P1",1,1
"C22 H30 O11",1,1
"C19 H34 O11 S1",1,0
"C19 H35 O11 P1",1,1
"C26 H30 O8",1,1
"C23 H35 O8 P1",1,1
"C23 H34 O10",1,1
"C20 H39 O10 P1",1,1
"C27 H34 O7",1,1
"C24 H39 O7 P1",1,1
"C24 H38 O9",1,1
"C21 H43 O9 P1",1,0
"C25 H42 O8",1,1
"C22 H46 O8 S1",1,0
"C26 H47 O5 P1",1,0
"C26 H46 O7",1,1
"C27 H50 O6",1,0
"C28 H54 O5",1,0
"C28 H14 O1 N3 P1 S1",1,0
"C21 H17 O10 N3",1,0
"C19 H21 O13 N1",1,1
"C24 H26 O3 N1 P1 S2",1,1
"C20 H25 O12 N1",1,1
"C25 H30 O2 N1 P1 S2",1,1
"C17 H30 O12 N1 P1",1,1
"C21 H29 O11 N1",1,1
"C26 H34 O1 N1 P1 S2",1,1
"C18 H34 O11 N1 P1",1,0
"C22 H33 O10 N1",1,1
"C19 H38 O10 N1 P1",1,0
"C19 H37 O12 N1",1,1
"C23 H37 O9 N1",1,1
"C22 H16 O8 S2",1,0
"C19 H21 O12 P1",1,1
"C19 H20 O14",1,1
"C12 H29 O11 N2 P1 S2",1,1
"C23 H20 O11",1,1
"C20 H25 O11 P1",1,1
"C20 H24 O13",1,1
"C24 H24 O10",1,1
"C21 H28 O10 S1",1,1
"C21 H29 O10 P1",1,1
"C21 H28 O12",1,1
"C25 H28 O9",1,1
"C22 H33 O9 P1",1,1
"C22 H32 O11",1,1
"C19 H37 O11 P1",1,1
"C26 H32 O8",1,1
"C23 H37 O8 P1",1,1
"C23 H36 O10",1,1
"C20 H41 O10 P1",1,1
"C27 H36 O7",1,1
"C20 H40 O12",1,1
"C26 H36 O6 N2",1,0
"C24 H41 O7 P1",1,0
"C24 H40 O9",1,1
"C25 H44 O8",1,1
"C29 H44 O5",1,0
"C26 H48 O7",1,0
"C27 H52 O6",1,0
"C23 H24 O4 N1 P1 S2",1,1
"C19 H23 O13 N1",1,1
"C24 H28 O3 N1 P1 S2",1,1
"C20 H27 O12 N1",1,1
"C17 H32 O12 N1 P1",1,0
"C24 H27 O9 N1",1,1
"C21 H31 O11 N1",1,1
"C22 H36 O8 N1 P1",1,1
"C22 H35 O10 N1",1,1
