"","fticrWEOM_processed_60846_2_BTM_rep1_aq2","fticrWEOM_processed_60846_5_BTM_rep1_aq2"
"C7 H5 O3 N1 S2",1,1
"C9 H13 O5 N1",1,1
"C10 H17 O4 N1",1,1
"C11 H21 O3 N1",1,1
"C8 H8 O5 S1",1,1
"C7 H9 O2 N2 P1 S1",1,1
"C9 H12 O6",1,1
"C13 H12 O3",1,1
"C10 H16 O5",1,1
"C11 H20 O4",1,1
"C12 H24 O3",1,1
"C9 H15 O5 N1",1,1
"C10 H19 O4 N1",1,0
"C8 H10 O7",1,1
"C12 H10 O4",1,1
"C9 H14 O6",1,1
"C13 H14 O3",1,1
"C10 H18 O5",1,1
"C11 H22 O4",1,1
"C8 H13 O6 N1",1,0
"C9 H17 O5 N1",1,1
"C11 H8 O5",1,1
"C8 H12 O7",1,0
"C12 H12 O4",1,1
"C11 H12 O3 N2",1,0
"C9 H16 O6",1,1
"C13 H16 O3",1,1
"C10 H20 O5",1,0
"C11 H10 O5",1,1
"C12 H14 O4",1,1
"C11 H14 O3 N2",1,0
"C13 H18 O3",1,1
"C14 H22 O2",1,1
"C7 H13 O7 N1",1,1
"C11 H13 O4 N1",1,1
"C10 H8 O6",1,1
"C11 H12 O5",1,1
"C8 H16 O5 S1",1,0
"C12 H16 O4",1,1
"C13 H20 O3",1,1
"C10 H11 O5 N1",1,1
"C7 H15 O7 N1",1,1
"C11 H15 O4 N1",1,1
"C10 H10 O6",1,1
"C11 H14 O5",1,1
"C10 H14 O4 N2",1,0
"C12 H18 O4",1,1
"C13 H22 O3",1,1
"C11 H17 O4 N1",1,1
"C10 H12 O4 S1",1,1
"C10 H12 O6",1,1
"C11 H16 O5",1,1
"C10 H16 O4 N2",1,1
"C12 H20 O4",1,1
"C11 H20 O3 N2",1,1
"C13 H24 O3",1,1
"C14 H28 O2",1,1
"C9 H11 O6 N1",1,0
"C10 H15 O5 N1",1,1
"C11 H19 O4 N1",1,0
"C12 H23 O3 N1",1,1
"C8 H11 O2 N2 P1 S1",1,1
"C9 H10 O7",1,1
"C13 H10 O4",1,1
"C10 H14 O6",1,1
"C14 H14 O3",1,1
"C13 H14 O2 N2",1,0
"C11 H18 O5",1,1
"C12 H22 O4",1,1
"C11 H22 O3 N2",1,1
"C13 H26 O3",1,1
"C9 H13 O6 N1",1,0
"C10 H17 O5 N1",1,1
"C11 H21 O4 N1",1,0
"C12 H25 O3 N1",1,1
"C7 H9 O1 N2 P1 S2",1,0
"C12 H8 O5",1,1
"C9 H12 O5 S1",1,1
"C9 H12 O7",1,1
"C13 H12 O4",1,1
"C10 H16 O4 S1",1,0
"C10 H16 O6",1,1
"C14 H16 O3",1,1
"C11 H20 O5",1,1
"C10 H20 O4 N2",1,0
"C12 H24 O4",1,1
